city
Oklahoma City,OK
Tulsa,OK
FALSE
Knoxville,TN
Atlanta,GA
Reno,NV
Flagstaff,AZ
Phoenix,AZ
FALSE
Tucson,AZ
Jackson,TN
Little Rock,AR
Los Angeles,CA
San Diego,CA
Pueblo,CO
Denver,CO
Washington,DC
Key West,FL
Miami,FL
Orlando,FL
Tampa,FL
Boise,ID
Chicago,IL
Springfield,IL
Goodland,KS
Paducah,KY
New Orleans,LA
Bangor,ME
FALSE
Caribou,ME
Portland,ME
Baltimore,MD
Detroit,MI
Marquette,MI
Duluth,MN
Minneapolis,MN
Tupelo,MS
St Louis,MO
Billings,MT
Butte,MT
Glasgow,MT
Missoula,MT
Elko,NV
Las Vegas,NV
Albuquerque,NM
Albany,NY
Buffalo,NY
Syracuse,NY
New York,NY
FALSE
Bismarck,ND
Fargo,ND
Minot,ND
Cleveland,OH
Columbus,OH
Toledo,OH
Portland,OR
Erie,PA
Philadelphia,PA
Pittsburgh,PA
FALSE
Hartford,CT
Sioux Falls,SD
Nashville,TN
Austin,TX
Brownsville,TX
Dallas,TX
El Paso,TX
Midland,TX
Houston,TX
San Antonio,TX
Salt Lake City,UT
Spokane,WA
Milwaukee,WI
Richmond,VA
San Juan,PR
St Thomas,VI
St Croix,VI
Anchorage,AK
Barrow,AK
Fairbanks,AK
Juneau,AK
Nome,AK
FALSE
